item,doc,source,summary,coherence,consistency,fluency,relevance
112,23,(same as above),"Elisabeth Curtis, also known as ""Bessie"", was a painter of portraits, miniatures, figures, and landscapes. She was a founding member of the San Francisco Art Student's League, where she also taught. She married Denis O'Sullivan in 1893, and the couple moved to England. She wrote under the pseudonym Patrick Bidwell, including for the 1904 musical, Peggy Machree.",,,,
113,23,(same as above),"Elisabeth Curtis was a painter of portraits, miniatures, figures, and landscapes . She was a founding member of the San Francisco Art",,,,
114,23,(same as above),"Elisabeth Curtis was a painter of portraits, miniatures, figures, and landscapes . In 1885, she was a founding member of the San Francisco Art Student's League . She left San Francisco in 1892 to study in Europe for a year with other members from",,,,
115,23,(same as above),"Elisabeth Curtis was born in San Francisco in 1865 to parents Charlotte Agnes Kidder and James Marvin Curtis. Growing up in San Francisco, she showed an interest in art at a young age. She was friends with Kathleen Thompson, later Kathleen Norris, during her childhood.",,,,
116,24,"Fossil fuels, including coal, oil and natural gas, have long been the world’s dominant sources of energy. Their fast depletion as well as their overall impact in global warming , due to the emission of greenhouse gases, has led to the rapid increase in the exploitation of renewable energy sources, such as solar and wind energy, hydropower, geothermal energy and bioenergy. In recent years, solar radiation and wind have emerged as two major Renewable Energy Sources (RES), each accounting for a quarter of the total RES energy output . Two major drawbacks, encountered on both RES types, are that the corresponding power generation is variable and non-dispatchable , i.e., the power generation output cannot (or have limited ability to) be adjusted to match the electricity demand. The integration of those RES types into existing power systems is mainly determined by: (i) the temporal variability of the output power from renewable energy generation stations and (ii) the accuracy of forecasts for the variable generation. Fluctuations in total non-dispatchable power generation along with fluctuations in the total power demand, require the in-parallel use of conventional dispatchable power generation methods on different time scales. Accurate forecasting of RES power generation and the electric load demand , can effectively mitigate the related uncertainties, contributing positively to the planning, management and operation of energy systems and thus achieving a lower level of use for conventional power generation methods. Accurate renewable energy generation forecasting is a challenging task due to the intermittent and random nature of renewable energy data. Methods addressing the RES forecasting problem, can be mostly categorized as physical, statistical, machine learning and hybrid. Physical forecasting methods focus on energy forecasting based on Numerical Weather Predictions (NWPs) and physical principles regarding the installed photovoltaic (PV) cells or wind turbines as well as the corresponding geographic formation. Physical methods do not require historical (past) information regarding energy generation. Statistical forecasting methods, such as Autoregressive (AR) models and Markov chain models , aim to establish a mapping relationship between past-time and future-time energy generation time-series. Machine learning forecasting models, also referred as intelligent forecasting models in the literature, such as neural networks and Support Vector Machines (SVMs) , attempt to establish a mathematical relationship between input and output through curve fitting and parameter optimization techniques . Hybrid methods incorporate a combination of different types of methods. Based on the manifestation of the forecasting results, RES forecasting methods can also be categorized as deterministic or probabilistic . Deterministic methods output single-valued energy generation predictions for each time-step of the forecasting window. Probabilistic methods provide a wider view of possible energy generation outputs expressed as quantiles, prediction intervals (PIs), and distributions. Finally, RES forecasting methods can also be categorized based on the time horizon of the forecasting window. According to the relevant literature, the methods can be split into four categories ; ultra-short-term, short-term, medium-term, and long-term forecasting. However, these categories often remain ambiguous since no universally agreed classification criterion exists. Thus, the terms intra-hour, intra-day, day-ahead and week-ahead forecasting / prediction are more commonly encountered in order to describe the forecast horizon in a more precise way. Our work, focuses mainly on deterministic machine learning-based wind and solar energy forecasting approaches at power station level, that utilize weather data along with past-time energy measurements, as input. Specifically, we introduce a deterministic forecasting method for a such scenario, capable to simultaneously generate multi-step (i.e., for multiple time instances) energy production forecasts for a given set of power stations. In particular, we employ a U-shaped Temporal Convolutional Auto-Encoder (UTCAE) for temporal processing of weather and energy data across each site. The motivation behind this choice is to enrich the representations of a given time-series, by exploring patterns across various temporal resolutions, thus capturing both global and local contextual information.","Fossil fuels, including coal, oil and natural gas, have long been the world’s dominant sources of energy. Their fast depletion as well as their overall impact in global warming , due to the emission of greenhouse gases, has led to the rapid increase in the exploitation of renewable energy sources, such as solar and wind energy, hydropower, geothermal energy and bioenergy. In recent years, solar radiation and wind have emerged as two major Renewable Energy Sources (RES), each accounting for a quarter of the total RES energy output .",,,,
117,24,(same as above),"In recent years, solar radiation and wind have emerged as two major Renewable Energy Sources (RES), each accounting for a quarter of the total RES energy output . Accurate forecasting of RES power generation and the electric load demand , can effectively mitigate the related uncertainties, contributing positively to the planning, management and operation of energy systems and thus achieving a lower level of use for conventional power generation methods. Accurate renewable energy generation forecasting is a challenging task due to the intermittent and random nature of renewable energy data.",,,,
118,24,(same as above),"Solar radiation and wind have emerged as two major Renewable Energy Sources . Two major drawbacks, are that the corresponding power generation is variable and non-dispatchable . The power generation output cannot (or have limited ability to) be adjusted to match the electricity demand . The integration of those RES types into existing power systems is mainly determined",,,,
119,24,(same as above),"Fossil fuels, including coal, oil and natural gas, have long been the world’s dominant sources of energy. Solar radiation and wind have emerged as two major Renewable Energy Sources (RES), each accounting for a quarter of the total RES energy output. Accurate forecasting of RES power generation and the electric load demand can effectively mitigate the related uncertainties.",,,,
120,24,(same as above),Solar radiation and wind have emerged as two major Renewable Energy Sources . The two types account for a quarter of the total RES energy output .,,,,
121,25,"He was born on April 3, 1935, in the Ōmiya (now in the city of Saitama), Saitama Prefecture, Japan, in a Buddhist family. While studying in elementary school, he attended the Holy Resurrection Cathedral (nikorai-dō) in Tokyo to listen to Eastern Orthodox hymns. Nagashima Shinji began to attend an educational missionary circle, and in 1952 he was baptized with the name Basil. Nagashima's father and two brothers also converted to Orthodoxy. After completing his secondary education, he was preparing to enter university, but conversion to Orthodoxy changed his views, and in 1954 he entered the newly revived Tokyo Theological Seminary. On February 5, 1958, together with other seminarians, he founded the religious magazine ""The Way"" (""michi""). Although the magazine ceased publication after four issues, it served as the beginning of Nagashima's writing and publishing works. After graduating from the seminary in 1958, Basil Nagashima was sent as a catechist to the church in the name of the Great Martyr Demetrius of Thessalonica in the city of Yamato. At the same time, he assumed the duties of editor of the official Japanese church newspaper Orthodox Bulletin (seikyō jihō). After that, he served as a catechist in the Kanda district church (Tokyo) for two years, and in July 1962 he was transferred to the Apostle James Church in Kagoshima City. Here he continued his catechetical ministry, often visiting the remote borders of Kyushu Island with missionary visits. In 1964 Bishop Vladimir (Nagosky) ordained catechist Basil a deacon and soon a presbyter. While in Kyushu, Fr. Basil began to express a desire to become a monk, and in July 1965 Bishop Vladimir sent him to the United States for obedience to St. Tikhon's Monastery in South Canaan, Pennsylvania, where Saint Tikhon's Orthodox Theological Seminary also located. From America, the priest Basil wrote to Bishop Vladimir that he had strengthened his desire to become a monk; nevertheless, in July 1967, he was recalled to Japan and returned to serve at the church in Kagoshima City. By 1969, when the Orthodox Church in Japan was on the verge of gaining autonomy, it became necessary to elect bishops from the Japanese. On October 19, at an extraordinary meeting on this issue, two candidates were elected – Hierodeacon Seraphim (Sigrist) and priest Basil (Nagashima), who, obeying the will of the Church, took vows with the name Theodosius in honor of St. Theodosius of Chernigov. On November 2, 1969, in accordance with the decision of the Bishops' Council of the Northern American Metropolis, Archimandrite Theodosius was consecrated Bishop of Kyoto. The consecration was performed by Archbishop John (Shakhovskoy) of San Francisco and Bishop Vladimir (Nagosky) of Tokyo. The structure and administrative institutions of the autonomous Church were determined at two Councils in 1970 – the annual July Council and the Extraordinary Council on November 15–16. In accordance with the Patriarchal Tomos, three dioceses were established in the Japanese Church: Archdiocese of Tokyo, headed by the primate; the Diocese of Western Japan centered in Kyoto, headed by Bishop Theodosius, and the Diocese of Eastern Japan centered in Sendai On February 10, 1972, Metropolitan Vladimir (Nagosky) sent a notice to the Japanese clergy about his resignation from the post of primate of the Japanese Orthodox Church, at the same time sending a petition for admission to the number of bishops of the Orthodox Church of America. He appointed Bishop Theodosius (Nagashima) of Kyoto as the locum tenens of the Church. The issue of electing a new primate turned out to be difficult: the most relevant candidate, Bishop Theodosius, has not yet gained proper authority among the clergy and believers, and therefore the Japanese leadership of the Church, headed by Fr. Basil Takeoka began to openly speak out against the election of a new primate, offering to grant all powers to the Metropolitan Council. The issue of replacing the see of Tokyo was resolved at an extraordinary Council on March 19, 1972.","Basil Nagashima was born on April 3, 1935, in the Ōmiya (now in the city of Saitama) Prefecture, Japan, in a Buddhist family. He converted to Orthodoxy in 1952, and in 1954 he entered the newly revived Tokyo Theological Seminary. He founded the religious magazine ""The Way"" in 1958, which served as the beginning of his writing works.",,,,
122,25,(same as above),"After that, he served as a catechist in the Kanda district church (Tokyo) for two years, and in July 1962 he was transferred to the Apostle James Church in Kagoshima City. From America, the priest Basil wrote to Bishop Vladimir that he had strengthened his desire to become a monk; nevertheless, in July 1967, he was recalled to Japan and returned to serve at the church in Kagoshima City. In accordance with the Patriarchal Tomos, three dioceses were established in the Japanese Church: Archdiocese of Tokyo, headed by the primate; the Diocese of Western Japan centered in Kyoto, headed by Bishop Theodosius, and the Diocese of Eastern Japan centered in Sendai On February 10, 1972, Metropolitan Vladimir (Nagosky) sent a notice to the Japanese clergy about his resignation from the post of primate of the Japanese Orthodox Church, at the same time sending a petition for admission to the number of bishops of the Orthodox Church of America.",,,,
123,25,(same as above),"Basil Nagashima Shinji was born on April 3, 1935, in Saitama Prefecture, Japan, in a Buddhist family . In 1954, he entered the newly revived Tokyo Theological Seminary and founded the religious magazine ""The Way"" He was sent as a catechist to the church in the name of the",,,,
124,25,(same as above),"He was born on April 3, 1935, in the Ōmiya (now in the city of Saitama), Saitama Prefecture, Japan, in a Buddhist family. While studying in elementary school, he attended the Holy Resurrection Cathedral (nikorai-dō) in Tokyo to listen to Eastern Orthodox hymns. Nagashima Shinji began to attend an educational missionary circle, and in 1952 he was baptized with the name Basil.",,,,
125,25,(same as above),"Basil Nagashima Shinji was born in Saitama Prefecture, Japan, in 1935 . He was born in Saitama Prefecture",,,,
126,26,"With new opportunities emerging with mixed reality, smart homes, and other connected technologies, modern-day human-computer interaction is rapidly evolving . As we increasingly engage within ubiquitous computing environments (i.e., computing anywhere and everywhere), there is a renewed need for always-available inputs that are both reliable and robust. Myoelectric control, which involves the recognition of muscle-based inputs (or gestures) via the electromyogram (EMG) signals generated during muscular contractions , is an attractive solution due to its potential intuitiveness, subtlety, and ability to work in real-world scenarios where other technologies may not . By leveraging machine learning to extract distinctive patterns of muscle activity to predict gestural intent , EMG has the potential to unlock many interesting and unique interaction opportunities. Despite its history of success within the prosthetics community , the use of myoelectric control for human-computer interaction (HCI) as a general-purpose input modality only materialized in the early 2000s . In this early exploration period, most HCI researchers embraced the best practices for myoelectric control as established over decades by the prosthetics community . The issue, however, is that these control schemes, initially designed for the continuous micro-adjustment of a prosthetic limb, fundamentally differ from those required for general-purpose ubiquitous use cases. Correspondingly, there has been a prevailing perception that myoelectric control lacks the robustness required for real-world general-purpose use, often being characterized as an “imprecise” input modality . A fundamental distinction between myoelectric control for powered prostheses and general-purpose input is the difference between dedicated and on-demand input. Dedicated control refers to a system that is always classifying EMG as input intent, often with an ‘other’ or ‘no movement’ class acting as a ‘do nothing’ command. Controlling a prosthetic device often assumes dedicated continuous control , where individuals constantly adjust their prosthesis based on predictions occurring on milliseconds worth of data . In these cases, the classification problem is considered to be closed-set , where the EMG inputs to the system are assumed to correspond to one of the classes used for training. The closed-set continuous control assumption is a seemingly appropriate approach for prosthesis control because amputees primarily engage in dedicated single-task device control; that is, it is assumed that they only activate the muscles of their residual limb to control the prosthesis. In turn, the prosthesis is always on, ready to be controlled, and there is no other task to be performed. This is not always the case for a user of a ‘general purpose’ myoelectric control system, where intermittent control is often desirable. For example, imagine controlling a slideshow with an EMG device and stopping to type on the keyboard to bring up a website to show the audience. In this situation, typing on the keyboard might produce muscle inputs that are unexpected in the closed-set, inadvertently advancing the slide deck. So, a dedicated control scheme in these settings precludes the ability for users to perform additional activities without worrying about inadvertent activations, an essential requirement for any ubiquitous input technology. A highly desirable characteristic of general-purpose myoelectric control would be to enable situational input in ubiquitous environments. For example, controlling a music player while walking to work, subtly accessing information on a mixed-reality display while in the grocery store, or dismissing a phone call while driving . However, the dedicated and continuous myoelectric control schemes previously explored in the HCI literature (e.g., ) have struggled to offer such capabilities. To realize the required level of robustness, on-demand myoelectric control may offer promise through the intentional activation and deactivation of a dedicated control mode. Toward this goal, an on-demand myoelectric control system based on wake gestures is proposed, designed, and evaluated. Similar to the now familiar wake words “Hey Google” or “Hey Siri”, a widely familiar gesture—a finger snap—is identified as a toggle to easily transition between modes.","Myoelectric control involves the recognition of muscle-based inputs (or gestures) via the electromyogram (EMG) signals generated during muscular contractions . This is an attractive solution due to its potential intuitiveness, subtlety, and ability to work in real-world scenarios where other technologies may not .",,,,
127,26,(same as above),"With new opportunities emerging with mixed reality, smart homes, and other connected technologies, modern-day human-computer interaction is rapidly evolving . As we increasingly engage within ubiquitous computing environments (i.e., computing anywhere and everywhere), there is a renewed need for always-available inputs that are both reliable and robust. Myoelectric control, which involves the recognition of muscle-based inputs (or gestures) via the electromyogram (EMG) signals generated during muscular contractions , is an attractive solution due to its potential intuitiveness, subtlety, and ability to work in real-world scenarios where other technologies may not .",,,,
128,26,(same as above),"Myoelectric control, which involves the recognition of muscle-based inputs (or gestures) via the electromyogram (EMG) signals generated during muscular contractions , is an attractive solution due to its potential intuitiveness, subtlety, and ability to work in real-world scenarios where other technologies may not . A fundamental distinction between myoelectric control for powered prostheses and general-purpose input is the difference between dedicated and on-demand input. The closed-set continuous control assumption is a seemingly appropriate approach for prosthesis control because amputees primarily engage in dedicated single-task device control; that is, it is assumed that they only activate the muscles of their residual limb to control the prosthesis.",,,,
129,26,(same as above),Myoelectric control involves the recognition of muscle-based inputs (or gestures) via the electromyogram (EMG) signals generated,,,,
130,26,(same as above),"Myoelectric control involves the recognition of muscle-based inputs (or gestures) via the electromyogram (EMG) signals generated during muscular contractions. By leveraging machine learning to extract distinctive patterns of muscle activity to predict gestural intent , EMG has the potential to unlock many interesting and unique interaction opportunities.",,,,
131,27,"A career diplomat, Lyle Lane joined the United States Foreign Service in 1952. His overseas postings include: International Affairs Adviser. In Ambassador Lane's final post he served as International Affairs Adviser to the Commander-in-Chief of U.S. Atlantic Command (CINCLANT) and NATO's Supreme Allied Commander Atlantic (SACLANT) Admiral Wesley L. McDonald (1982-1985) United States Ambassador to Paraguay (1980–82) United States Ambassador to Uruguay (1979–80) First Head of Mission to United States Interests Section in Havana (1977–79) United States Deputy Chief of Mission and later Chargé d'affaires to Peru (1976–77) United States Deputy Chief of Mission and later Chargé d'affaires to Costa Rica (1972–76) Regional Office of Central American Projects (ROCAP) Guatemala (1966–68) United States Principal Officer of Consulate, Cebu, Philippines (1962–66) United States Diplomatic Political Officer and Aid to Ambassador John Davis Lodge, Madrid, Spain (1955–59) United States Consul, Guayaquil, Ecuador (1953–55) Ambassador Lane received degrees from University of Washington (B.S. 1950), University of California at Berkeley (1962) and George Washington University (M.S. 1969). At U.W. he was a member of Chi Phi fraternity. The US broke diplomatic relations with Cuba on January 3, 1961, formally due to a disagreement about staffing levels at the respective Embassies. U.S. President Dwight D. Eisenhower stated at the time, ""There is a limit to what the United States in self-respect can endure. That limit has now been reached"". Protective powers were appointed to represent each country in the capital of the other. The US was represented by Switzerland in Havana, and the Cubans by Czechoslovakia in Washington. These offices, sections of the respective embassies, were staffed by Swiss and Czechoslovak diplomats. US and Cuban Interests Sections staffed by actual US and Cuban diplomats were mutually agreed upon in 1977 after the Carter Administration took office and decided to seek normalization of relations with Cuba. US officials replaced the Swiss in the US Interests Section in Havana on September 1, 1977. Both under the Swiss and later with US staff, the Section has occupied the former United States Embassy building on Havana's Malecon which was designed by Harrison & Abramovitz architects and originally entered into service in 1953. When relations were broken in 1961, the building was occupied, and its contents safeguarded, by the Swiss Embassy personnel who handled US Interests in Cuba on behalf of the US Government as the protecting power until the arrival of the US staff in 1977. The Swiss staff included some of the Foreign Service national employees (Cuban citizens) who were working at the US Embassy when relations were broken. Sixteen years later, when the US Government resumed its presence, many of them remained and resumed their direct employment. Most of the local hires employed by the Swiss also continued their employment. New hires were obtained through CUBALSE, the Cuban Government enterprise that serviced diplomatic missions. The initial American staffing of the Section consisted of ten State Department Officials and a plain clothes US Marine guard detachment. By mutual agreement, the Cubans had an equal number of staff in Washington. Lyle Franklin Lane was the first Chief of the Interests Section in Havana. Our Man in Havana Finds Some Things the Same:HAVANA, Aug. 31 (AP) The first United States diplomat to set up shop in Cuba in more than 16 years toured the old American Embassy today and found it a storehouse of 1950's nostalgia Scholarly U.S. Diplomat; Lyle Franklin Lane:In describing Lyle Lane, who opened Washington's first permanent diplomatic mission in Havana in 16 years yesterday, colleagues and friends spoke foremost of his discretion","Lyle Franklin Lane was the first Chief of the Interests Section in Havana. The US broke diplomatic relations with Cuba on January 3, 1961. Lane received degrees from University of Washington (B.S. 1950), University of California at Berkeley (1962) and George Washington University (M.W. 1969)",,,,
132,27,(same as above),"Lyle Franklin Lane was the first U.S. diplomat to set up shop in Cuba in more than 16 years . He served as International Affairs Adviser to the Commander-in-Chief of U.s. Atlantic Command and NATO's Supreme Allied Commander Atlantic . Lane received degrees from University of Washington, University of California at Berkeley",,,,
133,27,(same as above),Lyle Franklin Lane was the first U.S. diplomat to set up shop in Cuba in more than 16 years . He was the first,,,,
134,27,(same as above),"A career diplomat, Lyle Lane joined the United States Foreign Service in 1952. His overseas postings include: International Affairs Adviser. In Ambassador Lane's final post he served as International Affairs Adviser to the Commander-in-Chief of U.S. Atlantic Command (CINCLANT) and NATO's Supreme Allied Commander Atlantic (SACLANT) Admiral Wesley L. McDonald (1982-1985) United States Ambassador to Paraguay (1980–82) United States Ambassador to Uruguay (1979–80) First Head of Mission to United States Interests Section in Havana (1977–79) United States Deputy Chief of Mission and later Chargé d'affaires to Peru (1976–77) United States Deputy Chief of Mission and later Chargé d'affaires to Costa Rica (1972–76) Regional Office of Central American Projects (ROCAP) Guatemala (1966–68) United States Principal Officer of Consulate, Cebu, Philippines (1962–66) United States Diplomatic Political Officer and Aid to Ambassador John Davis Lodge, Madrid, Spain (1955–59) United States Consul, Guayaquil, Ecuador (1953–55) Ambassador Lane received degrees from University of Washington (B.S.",,,,
135,27,(same as above),"In Ambassador Lane's final post he served as International Affairs Adviser to the Commander-in-Chief of U.S. Atlantic Command (CINCLANT) and NATO's Supreme Allied Commander Atlantic (SACLANT) Admiral Wesley L. McDonald (1982-1985) United States Ambassador to Paraguay (1980–82) United States Ambassador to Uruguay (1979–80) First Head of Mission to United States Interests Section in Havana (1977–79) United States Deputy Chief of Mission and later Chargé d'affaires to Peru (1976–77) United States Deputy Chief of Mission and later Chargé d'affaires to Costa Rica (1972–76) Regional Office of Central American Projects (ROCAP) Guatemala (1966–68) United States Principal Officer of Consulate, Cebu, Philippines (1962–66) United States Diplomatic Political Officer and Aid to Ambassador John Davis Lodge, Madrid, Spain (1955–59) United States Consul, Guayaquil, Ecuador (1953–55) Ambassador Lane received degrees from University of Washington (B.S. Both under the Swiss and later with US staff, the Section has occupied the former United States Embassy building on Havana's Malecon which was designed by Harrison & Abramovitz architects and originally entered into service in 1953. When relations were broken in 1961, the building was occupied, and its contents safeguarded, by the Swiss Embassy personnel who handled US Interests in Cuba on behalf of the US Government as the protecting power until the arrival of the US staff in 1977.",,,,
136,28,"Knowledge Graphs (KGs) are collections of real-world factual knowledge represented as RDF triples. A set of such triples typically constitutes a multi-relational graph with entities as nodes and relations as edges. The entities and relations often have rich textual information as their names and descriptions. In recent years, KGs have been valuable resources in a variety of knowledge-intensive applications, such as question answering, search engines, and recommender systems. Despite the increasing use, KGs often suffer from incompleteness with a high ratio of plausible facts missing . Knowledge Graph Completion (KGC) is then proposed to find these missing facts using the existing facts and/or external resources. With the graph structure implied by triples, a large part of KGC methods uses KG embedding (KGE) techniques to encode the KG entities and relations into a vector space with their semantics like neighborhood graph patterns concerned, so that the missing facts can be inferred by their vector representations (a.k.a. embeddings) . We call them structure -based methods (see Section for more details). Besides the graph structure, there are also some methods exploiting the text of the entities and relations as additional information for prediction, but methods of this type proposed before 2021 such as DKRL (see their review ) use non-contextualized text embeddings such as Word2Vec to encode the text, which specify a token a unique embedding and cannot fully capture its meaning in the context. Recently, Pre-trained Language Models (PLMs) such as BERT , which encode the text with the tokens’ contexts considered, have achieved great success in natural language processing (NLP), and they have been applied to KGC. The methods often represent entities and relations using their textual information, view KGC as an NLP downstream task, and fine-tune PLMs to infer the missing facts. For example, KG-BERT takes as input a triple’s whole text, encodes the text with BERT, and feeds the text encoding into a classifier to predict its plausibility (score); KGT5 leverages the Seq2Seq PLM framework to directly generate a triple’s missing part conditioned on its other two known parts. We call the methods that utilize the textual information with some PLMs as PLM -based. The challenge of these methods thus lies in incorporating the graph structure simultaneously. Several efforts have been made in this direction. For example, StAR and LASS further forward the PLM-based text encoding to a KGE model to fine-tune the PLM and learn the structure embeddings jointly. However, fine-tuning the PLM is (i) costly in both computation and storage, limiting the applicability to larger models, and (ii) more prone to overfit and forget the knowledge e.g. linguistic inherence learned during pre-training, in many cases limiting the performance . Meanwhile, a more efficient technology of using PLMs named prompt-tuning has arisen: adapting the PLM directly as a downstream task predictor by adding (learnable) task-specific prompts on the input side without fine-tuning the PLM . For example, the prompt “It was [MASK] ” prepended to the input sentence “No reason to watch it.” formulates a binary sentiment classification task as the masked token prediction which is one of the pre-training tasks of LMs e.g. BERT. In general, such prompts on the one hand reduce the task gap between language modeling and downstream tasks with more generalization gains from PLMs, and on the other hand allow to freeze the PLMs with fewer parameters to tune. Although prompt-tuning has been applied to various fields including NLP , computer vision , protein design , etc, relatively few attempts have been proposed for KGC. The only one we know is CSProm-KG , which uses a frozen PLM to incorporate the textual information into a KG’s structural embeddings through structure-aware soft prompts, and then feeds the enhanced structural embeddings into a KGE model to predict the triple. However, the proposed structure-aware soft prompt is still quite preliminary and the whole method neglects the potential of the PLM for triple prediction.","With the graph structure implied by triples, a large part of KGC methods uses KG embedding (KGE) techniques to encode the KG entities and relations into a vector space with their semantics like neighborhood graph patterns concerned, so that the missing facts can be inferred by their vector representations (a.k.a. Besides the graph structure, there are also some methods exploiting the text of the entities and relations as additional information for prediction, but methods of this type proposed before 2021 such as DKRL (see their review ) use non-contextualized text embeddings such as Word2Vec to encode the text, which specify a token a unique embedding and cannot fully capture its meaning in the context. The methods often represent entities and relations using their textual information, view KGC as an NLP downstream task, and fine-tune PLMs to infer the missing facts.",,,,
137,28,(same as above),Knowledge Graph Completion (KGC) is proposed to find missing facts using existing facts and/or external resources . KGC methods use K,,,,
138,28,(same as above),Knowledge Graphs (KGs) are collections of real-world factual knowledge represented as RDF triples. A set of such triples typically constitutes a multi-relational graph with entities as nodes and relations as edges. The entities and relations often have rich textual information as their names and descriptions.,,,,
139,28,(same as above),Knowledge Graph Completion (KGC) is proposed to find missing facts using the existing facts and/or external resources . KGC methods use KG embedding (KGE) techniques to encode the KG entities and relations into a vector space with their semantics like neighborhood graph patterns concerned . We call them structure-based methods,,,,
140,28,(same as above),Knowledge Graphs (KGs) are collections of real-world factual knowledge represented as RDF triples. KGs often suffer from incompleteness with a high ratio of plausible facts missing. Knowledge Graph Completion (KGC) is then proposed to find these missing facts using the existing facts and/or external resources.,,,,
141,29,"The word spider derives from Proto-Germanic *spin-þron-, literally 'spinner' (a reference to how spiders make their webs), from the Proto-Indo-European root *(s)pen- 'to draw, stretch, spin'. Spiders are chelicerates and therefore, arthropods. As arthropods, they have: segmented bodies with jointed limbs, all covered in a cuticle made of chitin and proteins; heads that are composed of several segments that fuse during the development of the embryo. Being chelicerates, their bodies consist of two tagmata, sets of segments that serve similar functions: the foremost one, called the cephalothorax or prosoma, is a complete fusion of the segments that in an insect would form two separate tagmata, the head and thorax; the rear tagma is called the abdomen or opisthosoma. In spiders, the cephalothorax and abdomen are connected by a small cylindrical section, the pedicel. The pattern of segment fusion that forms chelicerates' heads is unique among arthropods, and what would normally be the first head segment disappears at an early stage of development, so that chelicerates lack the antennae typical of most arthropods. In fact, chelicerates' only appendages ahead of the mouth are a pair of chelicerae, and they lack anything that would function directly as ""jaws"". The first appendages behind the mouth are called pedipalps, and serve different functions within different groups of chelicerates. Spiders and scorpions are members of one chelicerate group, the arachnids. Scorpions' chelicerae have three sections and are used in feeding. Spiders' chelicerae have two sections and terminate in fangs that are generally venomous, and fold away behind the upper sections while not in use. The upper sections generally have thick ""beards"" that filter solid lumps out of their food, as spiders can take only liquid food. Scorpions' pedipalps generally form large claws for capturing prey, while those of spiders are fairly small appendages whose bases also act as an extension of the mouth; in addition, those of male spiders have enlarged last sections used for sperm transfer. In spiders, the cephalothorax and abdomen are joined by a small, cylindrical pedicel, which enables the abdomen to move independently when producing silk. The upper surface of the cephalothorax is covered by a single, convex carapace, while the underside is covered by two rather flat plates. The abdomen is soft and egg-shaped. It shows no sign of segmentation, except that the primitive Mesothelae, whose living members are the Liphistiidae, have segmented plates on the upper surface. Like other arthropods, spiders are coelomates in which the coelom is reduced to small areas around the reproductive and excretory systems. Its place is largely taken by a hemocoel, a cavity that runs most of the length of the body and through which blood flows. The heart is a tube in the upper part of the body, with a few ostia that act as non-return valves allowing blood to enter the heart from the hemocoel but prevent it from leaving before it reaches the front end. However, in spiders, it occupies only the upper part of the abdomen, and blood is discharged into the hemocoel by one artery that opens at the rear end of the abdomen and by branching arteries that pass through the pedicle and open into several parts of the cephalothorax. Hence spiders have open circulatory systems. The blood of many spiders that have book lungs contains the respiratory pigment hemocyanin to make oxygen transport more efficient. Spiders have developed several different respiratory anatomies, based on book lungs, a tracheal system, or both. Mygalomorph and Mesothelae spiders have two pairs of book lungs filled with haemolymph, where openings on the ventral surface of the abdomen allow air to enter and diffuse oxygen.","The word spider derives from Proto-Germanic *spin-þron-, literally 'spinner' (a reference to how spiders make their webs), from the Proto-Indo-European root *(s)pen- 'to draw, stretch, spin' Spiders are chelicerates and therefore, arthropods.",,,,
142,29,(same as above),"As arthropods, they have: segmented bodies with jointed limbs, all covered in a cuticle made of chitin and proteins; heads that are composed of several segments that fuse during the development of the embryo. Being chelicerates, their bodies consist of two tagmata, sets of segments that serve similar functions: the foremost one, called the cephalothorax or prosoma, is a complete fusion of the segments that in an insect would form two separate tagmata, the head and thorax; the rear tagma is called the abdomen or opisthosoma. However, in spiders, it occupies only the upper part of the abdomen, and blood is discharged into the hemocoel by one artery that opens at the rear end of the abdomen and by branching arteries that pass through the pedicle and open into several parts of the cephalothorax.",,,,
143,29,(same as above),"Spiders are chelicerates and arthropods, which have segmented bodies with jointed limbs . The first appendages behind the",,,,
144,29,(same as above),"The word spider derives from Proto-Germanic *spin-þron-, literally 'spinner' (a reference to how spiders make their webs), from the Proto-Indo-European root *(s)pen- 'to draw, stretch, spin'. Spiders are chelicerates and therefore, arthropods. As arthropods, they have: segmented bodies with jointed limbs, all covered in a cuticle made of chitin and proteins; heads that are composed of several segments that fuse during the development of the embryo.",,,,
145,29,(same as above),"The word spider derives from Proto-Germanic *spin-þron-, literally 'spinner' (a reference to how spiders make their webs) Spiders are chelicerates and therefore, arthropods . Their bodies consist of two tagmata, sets of segments that serve similar functions . The pattern of segment fusion",,,,
